exe_spgemm_speck_32,/ssget/MM/vanHeukelum/cage13/cage13.cbd,445315,445315,7479343,60593139,6.183,5.81384
exe_spgemm_speck_32,/ssget/MM/Newman/polblogs/polblogs.cbd,1490,1490,19025,211705,0.131,0.0826144
exe_spgemm_speck_32,/ssget/MM/Newman/polbooks/polbooks.cbd,105,105,882,4073,0.104,0.0541808
exe_spgemm_speck_32,/ssget/MM/Newman/netscience/netscience.cbd,1589,1589,5484,14463,0.101,0.054904
exe_spgemm_speck_32,/ssget/MM/Newman/cond-mat/cond-mat.cbd,16726,16726,95188,655860,0.436,0.246424
exe_spgemm_speck_32,/ssget/MM/Newman/astro-ph/astro-ph.cbd,16706,16706,242502,3576032,0.715,0.551534
exe_spgemm_speck_32,/ssget/MM/Newman/power/power.cbd,4941,4941,13188,39753,0.11,0.0569152
exe_spgemm_speck_32,/ssget/MM/Newman/as-22july06/as-22july06.cbd,22963,22963,96872,22198731,2.25,2.10511
exe_spgemm_speck_32,/ssget/MM/Newman/football/football.cbd,115,115,1226,5761,0.099,0.0539696
exe_spgemm_speck_32,/ssget/MM/Newman/cond-mat-2003/cond-mat-2003.cbd,31163,31163,240058,2780586,0.567,0.387018
exe_spgemm_speck_32,/ssget/MM/Newman/dolphins/dolphins.cbd,62,62,318,1200,0.109,0.0539536
exe_spgemm_speck_32,/ssget/MM/Newman/celegansneural/celegansneural.cbd,297,297,2345,13628,0.111,0.0544176
exe_spgemm_speck_32,/ssget/MM/Newman/adjnoun/adjnoun.cbd,112,112,850,6042,0.102,0.0551536
exe_spgemm_speck_32,/ssget/MM/Newman/karate/karate.cbd,34,34,156,698,0.099,0.0535376
exe_spgemm_speck_32,/ssget/MM/Newman/hep-th/hep-th.cbd,8361,8361,31502,171460,0.158,0.0772064
exe_spgemm_speck_32,/ssget/MM/Newman/lesmis/lesmis.cbd,77,77,508,2531,0.101,0.054552
exe_spgemm_speck_32,/ssget/MM/Newman/cond-mat-2005/cond-mat-2005.cbd,40421,40421,351386,5184585,0.832,0.654022
exe_spgemm_speck_32,/ssget/MM/JGD_BIBD/bibd_81_2/bibd_81_2.cbd,3240,3240,3240,3240,0.103,0.0525376
