spsv_csr_64,heart2.mtx,1.385462
spsv_csr_64,ins2.mtx,6.264044
spsv_csr_64,jazz.mtx,0.068547
spsv_csr_64,m133-b3.mtx,0.041585
spsv_csr_64,mac_econ_fwd500.mtx,14.864200
spsv_csr_64,majorbasis.mtx,1.076234
spsv_csr_64,mario002.mtx,0.110336
spsv_csr_64,mc2depi.mtx,2.543741
spsv_csr_64,memplus.mtx,0.243190
spsv_csr_64,mip1.mtx,1.520906
spsv_csr_64,mult_dcop_01.mtx,0.190208
spsv_csr_64,net50.mtx,0.016087
spsv_csr_64,nos4.mtx,0.037816
spsv_csr_64,offshore.mtx,5.478932
spsv_csr_64,Oregon-2.mtx,0.134114
spsv_csr_64,patents_main.mtx,0.086129
spsv_csr_64,pdb1HYS.mtx,23.896812
spsv_csr_64,pf2177.mtx,0.108493
spsv_csr_64,poisson3Da.mtx,0.141650
spsv_csr_64,Pres_Poisson.mtx,2.223104
spsv_csr_64,pwtk.mtx,174.750275
spsv_csr_64,qcd5_4.mtx,0.055798
spsv_csr_64,raefsky5.mtx,0.081449
spsv_csr_64,rail4284.mtx,Segmentation fault (core dumped)
spsv_csr_64,rajat21.mtx,0.109998
spsv_csr_64,rajat22.mtx,0.032727
spsv_csr_64,rajat23.mtx,0.056320
spsv_csr_64,rma10.mtx,9.429381
spsv_csr_64,road_central.mtx,6.151005
spsv_csr_64,road_usa.mtx,9.872588
spsv_csr_64,scircuit.mtx,1.723781
spsv_csr_64,shipsec1.mtx,3.112243
spsv_csr_64,spsymm_example.mtx,0.005847
spsv_csr_64,transient.mtx,0.066734
spsv_csr_64,webbase-1M.mtx,1.238518
spsv_csr_64,web-Google.mtx,0.414751
spsv_csr_64,web-NotreDame.mtx,0.596685
spsv_csr_64,wiki-Talk.mtx,2.060749
spsv_csr_64,wiki-Vote.mtx,0.188467
