904,221.757789
896,219.621379
888,217.611890
880,215.193810
872,213.105271
864,195.636380
856,193.744299
848,191.700001
840,189.581132
832,172.729061
824,170.949061
816,169.027340
808,167.123799
800,151.164088
792,149.694271
784,147.736990
776,146.082811
768,131.886759
760,130.196459
752,127.711630
744,126.200449
736,124.754682
728,123.268812
720,121.817679
712,120.314658
704,106.271760
696,104.995708
688,103.513000
680,102.167780
672,88.970110
664,87.782362
656,86.526890
648,85.416479
640,84.333730
632,83.131709
624,81.971450
616,80.792840
608,68.842819
600,67.859030
592,66.752121
584,65.765369
576,64.827821
568,63.873100
560,52.937679
552,52.101569
544,51.229968
536,50.385458
528,49.462278
520,48.633180
512,39.077091
504,38.297791
496,37.456741
488,36.817420
480,36.115949
472,35.430360
464,34.740410
456,34.096401
448,33.456252
440,32.815070
432,24.558580
424,24.085848
416,23.535531
408,23.022480
400,22.521570
392,22.044821
384,21.576149
376,21.092570
368,20.611420
360,20.170619
352,13.431811
344,13.064871
336,12.728319
328,12.416048
320,12.088740
312,11.754508
304,11.429400
296,11.127489
288,10.829349
280,10.506718
272,10.190811
264,9.862440
256,4.952431
248,4.759390
240,4.612238
232,4.441988
224,4.315150
216,4.149320
208,3.984439
200,3.819990
192,3.688381
184,3.513629
176,3.362470
168,3.192911
160,2.956631
152,2.765701
144,2.623589
136,2.480631
128,2.334561
120,2.200441
112,2.044291
104,1.908250
96,1.755669
