,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
37,exe_spgemm_cusparse_32,/ssget/MM/Grund/poli/poli.cbd,4,4,4,4008,4008,8188,0.11608,15718,0.2708132322536182
38,exe_spgemm_cusparse_64,/ssget/MM/Grund/poli/poli.cbd,8,8,8,4008,4008,8188,0.1381,15718,0.22763215061549602
39,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/poli/poli.cbd,2,2,2,4008,4008,8188,0.11893,15718,0.26432355166904903
40,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer04/bayer04.cbd,2,2,2,20545,20545,159082,0.3964,1229713,6.204404641775985
41,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer04/bayer04.cbd,4,4,4,20545,20545,159082,0.38859,1229713,6.329102653182018
42,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer04/bayer04.cbd,8,8,8,20545,20545,159082,0.51038,1229713,4.818813433128258
43,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer04/bayer04.cbd,2,2,2,20545,20545,159082,0.39697,1229713,6.195495881300855
44,exe_spgemm_cusparse_16,/ssget/MM/Grund/d_ss/d_ss.cbd,2,2,2,53,53,149,0.11603,430,0.007411876238903732
45,exe_spgemm_cusparse_32,/ssget/MM/Grund/d_ss/d_ss.cbd,4,4,4,53,53,149,0.11634,430,0.007392126525700533
46,exe_spgemm_cusparse_64,/ssget/MM/Grund/d_ss/d_ss.cbd,8,8,8,53,53,149,0.12583,430,0.00683461813557975
47,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/d_ss/d_ss.cbd,2,2,2,53,53,149,0.1164,430,0.007388316151202749
48,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer06/bayer06.cbd,2,2,2,3008,3008,27576,0.20103,281407,2.799651793264687
49,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer06/bayer06.cbd,4,4,4,3008,3008,27576,0.2001,281407,2.812663668165917
50,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer06/bayer06.cbd,8,8,8,3008,3008,27576,0.23269,281407,2.418728780781297
51,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer06/bayer06.cbd,2,2,2,3008,3008,27576,0.20182,281407,2.7886928946586065
52,exe_spgemm_cusparse_16,/ssget/MM/Grund/b2_ss/b2_ss.cbd,2,2,2,1089,1089,4228,0.11696,15855,0.2711183310533516
53,exe_spgemm_cusparse_32,/ssget/MM/Grund/b2_ss/b2_ss.cbd,4,4,4,1089,1089,4228,0.11625,15855,0.2727741935483871
54,exe_spgemm_cusparse_64,/ssget/MM/Grund/b2_ss/b2_ss.cbd,8,8,8,1089,1089,4228,0.11614,15855,0.27303254692612366
55,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/b2_ss/b2_ss.cbd,2,2,2,1089,1089,4228,0.11788,15855,0.2690023752969121
56,exe_spgemm_cusparse_16,/ssget/MM/Grund/b1_ss/b1_ss.cbd,2,2,2,7,7,15,0.11128,33,0.000593098490294752
57,exe_spgemm_cusparse_32,/ssget/MM/Grund/b1_ss/b1_ss.cbd,4,4,4,7,7,15,0.11044,33,0.000597609561752988
58,exe_spgemm_cusparse_64,/ssget/MM/Grund/b1_ss/b1_ss.cbd,8,8,8,7,7,15,0.11568,33,0.000570539419087137
59,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/b1_ss/b1_ss.cbd,2,2,2,7,7,15,0.11078,33,0.0005957754107239574
60,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer07/bayer07.cbd,2,2,2,3268,3268,27836,0.19834,281667,2.8402440254109105
61,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer07/bayer07.cbd,4,4,4,3268,3268,27836,0.19835,281667,2.840100831862869
62,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer07/bayer07.cbd,8,8,8,3268,3268,27836,0.22335,281667,2.5222028206850235
63,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer07/bayer07.cbd,2,2,2,3268,3268,27836,0.19987,281667,2.818502026317106
64,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer10/bayer10.cbd,2,2,2,13436,13436,94926,0.23741,663922,5.593041573648962
65,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer10/bayer10.cbd,4,4,4,13436,13436,94926,0.23766,663922,5.5871581250525955
66,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer10/bayer10.cbd,8,8,8,13436,13436,94926,0.34108,663922,3.893057347249912
67,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer10/bayer10.cbd,2,2,2,13436,13436,94926,0.2367,663922,5.609818335445713
68,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer01/bayer01.cbd,2,2,2,57735,57735,277774,0.32427,1322316,8.155648071051901
69,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer01/bayer01.cbd,4,4,4,57735,57735,277774,0.32274,1322316,8.19431121026213
70,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer01/bayer01.cbd,8,8,8,57735,57735,277774,0.37573,1322316,7.03865009448274
71,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer01/bayer01.cbd,2,2,2,57735,57735,277774,0.32557,1322316,8.12308259360506
72,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer05/bayer05.cbd,2,2,2,3268,3268,27836,0.19989,281667,2.818220021011556
73,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer05/bayer05.cbd,4,4,4,3268,3268,27836,0.19942,281667,2.824862100090262
74,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer05/bayer05.cbd,8,8,8,3268,3268,27836,0.22759,281667,2.4752142009754388
