10000,32,copy,55.5556,triad,80.6452,scale,54.9451,add,81.5217,
10000,64,copy,78.125,triad,85.2273,scale,78.125,add,88.2353,
10000,128,copy,78.125,triad,84.2697,scale,78.125,add,87.2093,
10000,256,copy,78.125,triad,84.2697,scale,57.4713,add,84.2697,
10000,512,copy,57.4713,triad,79.7872,scale,57.4713,add,83.3333,
10000,1024,copy,56.8182,triad,79.7872,scale,54.3478,add,79.7872,
20000,32,copy,104.167,triad,159.574,scale,104.167,add,156.25,
20000,64,copy,109.89,triad,166.667,scale,112.36,add,166.667,
20000,128,copy,156.25,triad,170.455,scale,116.279,add,174.419,
20000,256,copy,156.25,triad,166.667,scale,116.279,add,168.539,
20000,512,copy,116.279,triad,159.574,scale,113.636,add,166.667,
20000,1024,copy,113.636,triad,156.25,scale,108.696,add,156.25,
30000,32,copy,156.25,triad,234.375,scale,156.25,add,234.375,
30000,64,copy,163.043,triad,241.935,scale,157.895,add,234.375,
30000,128,copy,176.471,triad,252.809,scale,166.667,add,247.253,
30000,256,copy,234.375,triad,247.253,scale,172.414,add,244.565,
30000,512,copy,168.539,triad,234.375,scale,164.835,add,239.362,
30000,1024,copy,176.471,triad,234.375,scale,161.29,add,236.842,
40000,32,copy,208.333,triad,312.5,scale,208.333,add,312.5,
40000,64,copy,212.766,triad,312.5,scale,208.333,add,315.789,
40000,128,copy,224.719,triad,319.149,scale,222.222,add,333.333,
40000,256,copy,227.273,triad,322.581,scale,229.885,add,326.087,
40000,512,copy,232.558,triad,322.581,scale,227.273,add,326.087,
40000,1024,copy,222.222,triad,312.5,scale,210.526,add,312.5,
50000,32,copy,260.417,triad,390.625,scale,260.417,add,390.625,
50000,64,copy,260.417,triad,390.625,scale,260.417,add,390.625,
50000,128,copy,271.739,triad,390.625,scale,268.817,add,403.226,
50000,256,copy,277.778,triad,390.625,scale,280.899,add,390.625,
50000,512,copy,287.356,triad,394.737,scale,280.899,add,394.737,
50000,1024,copy,277.778,triad,390.625,scale,268.817,add,390.625,
60000,32,copy,312.5,triad,468.75,scale,312.5,add,375,
60000,64,copy,312.5,triad,468.75,scale,312.5,add,468.75,
60000,128,copy,315.789,triad,468.75,scale,312.5,add,468.75,
60000,256,copy,329.67,triad,468.75,scale,333.333,add,468.75,
60000,512,copy,337.079,triad,468.75,scale,337.079,add,468.75,
60000,1024,copy,344.828,triad,468.75,scale,326.087,add,468.75,
