1d,16,2,0.001843
1d,32,2,0.001781
1d,64,2,0.001894
1d,16,4,0.001848
1d,32,4,0.001997
1d,64,4,0.001997
1d,16,8,0.001894
1d,32,8,0.002048
1d,64,8,0.002458
1d,16,16,0.002096
1d,32,16,0.001894
1d,64,16,0.002970
1d,16,32,0.002150
1d,32,32,0.002150
1d,64,32,0.005581
1d,16,64,0.002355
1d,32,64,0.001997
1d,64,64,0.004042
1d,16,128,0.002150
1d,32,128,0.002499
1d,64,128,0.004198
1d,16,256,0.002150
1d,32,256,0.002216
1d,64,256,0.005624
1d,16,512,0.002301
1d,32,512,0.002611
1d,64,512,0.006437
1d,16,1024,0.002714
1d,32,1024,0.002653
1d,64,1024,0.012445
1d,16,2048,0.003379
1d,32,2048,0.003686
1d,64,2048,0.024525
1d,16,4096,0.004338
1d,32,4096,0.004147
1d,64,4096,0.052853
1d,16,8192,0.008856
1d,32,8192,0.006554
1d,64,8192,0.119347
1d,16,16384,0.007363
1d,32,16384,0.013107
1d,64,16384,0.041677
1d,16,32768,0.006656
1d,32,32768,0.006144
1d,64,32768,0.041984
1d,16,65536,0.006502
1d,32,65536,0.006246
1d,64,65536,0.041216
1d,16,131072,0.008808
1d,32,131072,0.007424
1d,64,131072,0.062157
1d,16,262144,0.009762
1d,32,262144,0.009216
1d,64,262144,0.090920
1d,16,524288,0.012339
1d,32,524288,0.013517
1d,64,524288,0.147558
1d,16,1048576,0.016998
1d,32,1048576,0.019917
1d,64,1048576,0.219494
1d,16,2097152,0.027136
1d,32,2097152,0.036915
1d,64,2097152,0.487014
1d,16,4194304,0.057088
1d,32,4194304,0.131328
1d,64,4194304,1.007770
1d,16,8388608,0.175053
1d,32,8388608,0.412979
1d,64,8388608,1.841766
1d,16,16777216,0.549325
1d,32,16777216,0.945715
1d,64,16777216,3.600486
1d,16,33554432,1.198477
1d,32,33554432,1.961203
1d,64,33554432,7.441255
1d,16,67108864,2.429797
1d,32,67108864,3.985049
1d,64,67108864,15.688141
1d,16,134217728,4.897638
1d,32,134217728,8.056730
1d,64,134217728,33.037773
1d,16,268435456,9.867879
1d,32,268435456,16.153549
1d,64,268435456,71.776558
2d,16,2,0.003789
2d,32,2,0.003592
2d,64,2,0.003672
2d,16,4,0.003882
2d,32,4,0.003688
2d,64,4,0.004045
2d,16,8,0.003994
2d,32,8,0.003789
2d,64,8,0.004813
2d,16,16,0.004098
2d,32,16,0.003941
2d,64,16,0.007526
2d,16,32,0.004504
2d,32,32,0.004966
2d,64,32,0.013619
2d,16,64,0.004506
2d,32,64,0.004899
2d,64,64,0.017781
2d,16,128,0.005274
2d,32,128,0.005986
2d,64,128,0.021658
2d,16,256,0.005269
2d,32,256,0.005374
2d,64,256,0.023859
2d,16,512,0.015667
2d,32,512,0.007629
2d,64,512,0.058726
2d,16,1024,0.051819
2d,32,1024,0.017408
2d,64,1024,0.183962
2d,16,2048,0.193229
2d,32,2048,0.066406
2d,64,2048,0.829645
2d,16,4096,0.808397
2d,32,4096,0.853862
2d,64,4096,3.410125
2d,16,8192,3.409920
2d,32,8192,3.624858
2d,64,8192,15.787966
2d,16,16384,16.561716
2d,32,16384,14.769971
2d,64,16384,72.910233
3d,16,2,0.007168
3d,32,2,0.005530
3d,64,2,0.005683
3d,16,4,0.007168
3d,32,4,0.005566
3d,64,4,0.005990
3d,16,8,0.008192
3d,32,8,0.005888
3d,64,8,0.008542
3d,16,16,0.007904
3d,32,16,0.006605
3d,64,16,0.014541
3d,16,32,0.008192
3d,32,32,0.007422
3d,64,32,0.020378
3d,16,64,0.011072
3d,32,64,0.010445
3d,64,64,0.042854
3d,16,128,0.024576
3d,32,128,0.037850
3d,64,128,0.365517
3d,16,256,0.457728
3d,32,256,0.894362
3d,64,256,2.956851
3d,16,512,16.482304
3d,32,512,7.688960
3d,64,512,26.689280
3d,16,1024,140.436478
3d,32,1024,58.464153
3d,64,1024,0.000000
